brand,country,industry,website,products,description,mission,overall_score,environment_score,environment_products,environment_practices,environment_outputs,environment_inputs,certification,target_is_environmental,target_audit_label,combined_text,clean_text,audit_score,audit_label
100km foods inc.,Canada,food products (isic 463),www.100kmfoods.com,local food,"100km foods inc. is a local food distribution company based in toronto, ontario, canada","our mission is to establish a viable, dynamic and sustainable local food economy whereby chefs have access to the freshest and best products that ontario has to offer, and ontario producers have a dedicated channel for the sales, marketing and distributio",110.3,10.5,unknown,5.9,0.8,0.4,b-corp,1,Marketing Hype,"100km foods inc. is a local food distribution company based in toronto, ontario, canada our mission is to establish a viable, dynamic and sustainable local food economy whereby chefs have access to the freshest and best products that ontario has to offer, and ontario producers have a dedicated channel for the sales, marketing and distributio local food food products (isic 463)",100km foods inc is a local food distribution company based in toronto ontario canada our mission is to establish a viable dynamic and sustainable local food economy whereby chefs have access to the freshest and best products that ontario has to offer and ontario producers have a dedicated channel for the sales marketing and distributio local food food products isic 463,1,1
148,France,advertising & market research,148.fr,"advising, development, implementation, web, event planning and marketing buzz.",small independent business in advertising and branding communication strategy business.,"global creative agency we are a small company delivering consulting and implementation solution related to website creation, branding identity and communication strategy, we are creative people and technical expert.",80.3,7.5,unknown,6.7,1.1,2.0,b-corp,0,Marketing Hype,"small independent business in advertising and branding communication strategy business. global creative agency we are a small company delivering consulting and implementation solution related to website creation, branding identity and communication strategy, we are creative people and technical expert. advising, development, implementation, web, event planning and marketing buzz. advertising & market research",small independent business in advertising and branding communication strategy business global creative agency we are a small company delivering consulting and implementation solution related to website creation branding identity and communication strategy we are creative people and technical expert advising development implementation web event planning and marketing buzz advertising  market research,0,1
226strategic,Australia,other info service activities,www.226strategic.com.au,"brand strategy, design, website development and management, content curation",design and creative hub for liveability outcomes,226 provides design and content using digital and creative expertise to deliver good (liveability and sustainability) measurable outcomes.,88.9,17.4,0.0,16.3,5.0,6.3,b-corp,0,Fact Based,"design and creative hub for liveability outcomes 226 provides design and content using digital and creative expertise to deliver good (liveability and sustainability) measurable outcomes. brand strategy, design, website development and management, content curation other info service activities",design and creative hub for liveability outcomes 226 provides design and content using digital and creative expertise to deliver good liveability and sustainability measurable outcomes brand strategy design website development and management content curation other info service activities,2,0
361 degrees strategic engagement services,Australia,management  consultant - for-profits,www.361degrees.com.au,"strategic engagement, project communications, change management","361 degrees strategic engagement services (previously stakeholder engagement services) is an innovative consulting company delivering strategic engagement, communications, change management and innovative thinking using systems methodologies.","people are at the core of our business philosophy and we believe in the power of ideas, creativity and the value of exploring future possibilities.",83.1,8.2,unknown,8.2,1.1,2.3,b-corp,0,Marketing Hype,"361 degrees strategic engagement services (previously stakeholder engagement services) is an innovative consulting company delivering strategic engagement, communications, change management and innovative thinking using systems methodologies. people are at the core of our business philosophy and we believe in the power of ideas, creativity and the value of exploring future possibilities. strategic engagement, project communications, change management management  consultant - for-profits",361 degrees strategic engagement services previously stakeholder engagement services is an innovative consulting company delivering strategic engagement communications change management and innovative thinking using systems methodologies people are at the core of our business philosophy and we believe in the power of ideas creativity and the value of exploring future possibilities strategic engagement project communications change management management  consultant  forprofits,1,1
850zip,United States,membership organizations,www.850zip.com,community & business memberships,"a hyper local loyalty program that rewards members for supporting their favorite phoenix businesses in the ""850"" zip codes and helps locally-owned businesses attract more customers.",850zip was born to create stronger neighborhoods and communities; by magnifying the importance every individual makes on the economic vitality and social infrastructure of society.,131.7,12.0,unknown,10.8,2.5,0.3,b-corp,0,Fact Based,"a hyper local loyalty program that rewards members for supporting their favorite phoenix businesses in the ""850"" zip codes and helps locally-owned businesses attract more customers. 850zip was born to create stronger neighborhoods and communities; by magnifying the importance every individual makes on the economic vitality and social infrastructure of society. community & business memberships membership organizations",a hyper local loyalty program that rewards members for supporting their favorite phoenix businesses in the 850 zip codes and helps locallyowned businesses attract more customers 850zip was born to create stronger neighborhoods and communities by magnifying the importance every individual makes on the economic vitality and social infrastructure of society community  business memberships membership organizations,2,0
1000friends & la casa de carlota,Spain,advertising & market research,www.1000friends.es,communications agency specialized in sustainability and social responsibility,"somos una empresa dedicada a la creación, desarrollo, implementación y comunicación de nuevas ideas y estrategias de responsabilidad social y sostenibilidad tanto para empresas y sus marcas como para entidades sin ánimo de lucro.","trabajar en la creación, el desarrollo, la comunicación y la gestión de proyectos de responsabilidad social para las empresas y sus marcas y para entidades del sin ánimo de lucro con el fin de mejorar la calidad de vida de las personas y su entorno.",91.9,5.6,unknown,5.6,1.1,1.3,b-corp,0,Marketing Hype,"somos una empresa dedicada a la creación, desarrollo, implementación y comunicación de nuevas ideas y estrategias de responsabilidad social y sostenibilidad tanto para empresas y sus marcas como para entidades sin ánimo de lucro. trabajar en la creación, el desarrollo, la comunicación y la gestión de proyectos de responsabilidad social para las empresas y sus marcas y para entidades del sin ánimo de lucro con el fin de mejorar la calidad de vida de las personas y su entorno. communications agency specialized in sustainability and social responsibility advertising & market research",somos una empresa dedicada a la creacin desarrollo implementacin y comunicacin de nuevas ideas y estrategias de responsabilidad social y sostenibilidad tanto para empresas y sus marcas como para entidades sin nimo de lucro trabajar en la creacin el desarrollo la comunicacin y la gestin de proyectos de responsabilidad social para las empresas y sus marcas y para entidades del sin nimo de lucro con el fin de mejorar la calidad de vida de las personas y su entorno communications agency specialized in sustainability and social responsibility advertising  market research,0,1
1001pact,France,investment advising,1001pact.com,conseil en investissement solidaire - social investment advising,"1001pact est une plateforme d'investissement participatif permettant aux particuliers d'investir au capital d'entreprises responsables à fort impact social, sociétal et/ou environnementale. et devenir ""social investor"" à partir de 100€.","notre mission est de permettre aux entreprises sociales de lever des fonds simplement et en ligne et de s'entourer d'une communauté d'actionnaires solidaires afin de pérenniser leur finalité sociale, sociétale ou environnementale.",111.2,4.4,0.0,4.4,0.0,0.0,b-corp,0,Fact Based,"1001pact est une plateforme d'investissement participatif permettant aux particuliers d'investir au capital d'entreprises responsables à fort impact social, sociétal et/ou environnementale. et devenir ""social investor"" à partir de 100€. notre mission est de permettre aux entreprises sociales de lever des fonds simplement et en ligne et de s'entourer d'une communauté d'actionnaires solidaires afin de pérenniser leur finalité sociale, sociétale ou environnementale. conseil en investissement solidaire - social investment advising investment advising",1001pact est une plateforme dinvestissement participatif permettant aux particuliers dinvestir au capital dentreprises responsables  fort impact social socital etou environnementale et devenir social investor  partir de 100 notre mission est de permettre aux entreprises sociales de lever des fonds simplement et en ligne et de sentourer dune communaut dactionnaires solidaires afin de prenniser leur finalit sociale socitale ou environnementale conseil en investissement solidaire  social investment advising investment advising,2,0
1908 brands,United States,other manufacturing,1908brands.com,1908 brands,"1908 brands, inc. was founded in 2010 by steve savage, the former founder and ceo of eco-products. as a rapidly growing manufacturer of natural products, 1908 brands - based in boulder, co -produces, manufactures, and manages seven natural product brands.","we are driven to create quality, trusted products that adapt with the ever- changing needs of our planet and people. we proudly disrupt markets that have poor environmental and health impacts to create safer, healthier products for you and the planet.",92.8,32.9,unknown,16.9,1.5,8.0,b-corp,0,Marketing Hype,"1908 brands, inc. was founded in 2010 by steve savage, the former founder and ceo of eco-products. as a rapidly growing manufacturer of natural products, 1908 brands - based in boulder, co -produces, manufactures, and manages seven natural product brands. we are driven to create quality, trusted products that adapt with the ever- changing needs of our planet and people. we proudly disrupt markets that have poor environmental and health impacts to create safer, healthier products for you and the planet. 1908 brands other manufacturing",1908 brands inc was founded in 2010 by steve savage the former founder and ceo of ecoproducts as a rapidly growing manufacturer of natural products 1908 brands  based in boulder co produces manufactures and manages seven natural product brands we are driven to create quality trusted products that adapt with the ever changing needs of our planet and people we proudly disrupt markets that have poor environmental and health impacts to create safer healthier products for you and the planet 1908 brands other manufacturing,1,1
.org/advisors,United States,management consultant - nonprofits,dotorgadvisors.com,management consulting and organizational development for non-profits and ngo's,"planning. systems. culture. only when all three of these components are aligned will an organization succeed. at .org/advisors, our goal is to help you define, design, and proceduralize pathways to achieving sustainable organizational evolution.",unknown,130.4,11.7,unknown,10.5,2.5,0.0,b-corp,1,Marketing Hype,"planning. systems. culture. only when all three of these components are aligned will an organization succeed. at .org/advisors, our goal is to help you define, design, and proceduralize pathways to achieving sustainable organizational evolution. unknown management consulting and organizational development for non-profits and ngo's management consultant - nonprofits",planning systems culture only when all three of these components are aligned will an organization succeed at orgadvisors our goal is to help you define design and proceduralize pathways to achieving sustainable organizational evolution unknown management consulting and organizational development for nonprofits and ngos management consultant  nonprofits,1,1
a to z wineworks,United States,beverages (isic 11),www.atozwineworks.com,wine,"a to z remains true to the dual mission of offering aristocratic wines at democratic prices blending one cuvee each vintage of pinot noir, pinot gris and chardonnay that deliver the essence of oregon.",create the highest quality wine for the greatest sustainable value as we build a company that is a force for good.,136.7,45.2,unknown,20.9,3.0,7.6,b-corp,1,Marketing Hype,"a to z remains true to the dual mission of offering aristocratic wines at democratic prices blending one cuvee each vintage of pinot noir, pinot gris and chardonnay that deliver the essence of oregon. create the highest quality wine for the greatest sustainable value as we build a company that is a force for good. wine beverages (isic 11)",a to z remains true to the dual mission of offering aristocratic wines at democratic prices blending one cuvee each vintage of pinot noir pinot gris and chardonnay that deliver the essence of oregon create the highest quality wine for the greatest sustainable value as we build a company that is a force for good wine beverages isic 11,1,1
a&r solar,United States,other renew. energy install (isic 43),www.a-rsolar.com,solar energy system design & installation,"a&r solar is a team of smart, environmentally conscious specialists who design and install solar energy systems for homeowners, businesses, and government agencies.","our purpose is to build a great company, with great people, and great results by defining the golden rule.",114.5,36.9,unknown,8.5,0.8,2.9,b-corp,1,Fact Based,"a&r solar is a team of smart, environmentally conscious specialists who design and install solar energy systems for homeowners, businesses, and government agencies. our purpose is to build a great company, with great people, and great results by defining the golden rule. solar energy system design & installation other renew. energy install (isic 43)",ar solar is a team of smart environmentally conscious specialists who design and install solar energy systems for homeowners businesses and government agencies our purpose is to build a great company with great people and great results by defining the golden rule solar energy system design  installation other renew energy install isic 43,2,0
"abacus wealth partners, llc",United States,investment advising,www.abacuswealth.com/,national financial planning firm,"we help our clients make the best use of their financial resources, freeing their time to enjoy what matters most in life.",we expand what is possible with money.,133.0,6.9,unknown,6.9,1.1,1.3,b-corp,0,Marketing Hype,"we help our clients make the best use of their financial resources, freeing their time to enjoy what matters most in life. we expand what is possible with money. national financial planning firm investment advising",we help our clients make the best use of their financial resources freeing their time to enjoy what matters most in life we expand what is possible with money national financial planning firm investment advising,0,1
abhati,Switzerland,personal care products (isic 475),www.abhati.ch,holistic skincare & lifestyle brand,"abhati works with local communities across india to provide sanitation and so improve hygiene and consequently education. the funds from the company are used to fund the ngo's we've partnered with.
we donate to http://www.educategirls.in/index.php/who-w","we're in business of selling high-end products, & committed to creating pathways for people to have access to safe hygiene around the world.",84.3,3.1,unknown,3.0,0.0,1.9,b-corp,0,Fact Based,"abhati works with local communities across india to provide sanitation and so improve hygiene and consequently education. the funds from the company are used to fund the ngo's we've partnered with.
we donate to http://www.educategirls.in/index.php/who-w we're in business of selling high-end products, & committed to creating pathways for people to have access to safe hygiene around the world. holistic skincare & lifestyle brand personal care products (isic 475)","abhati works with local communities across india to provide sanitation and so improve hygiene and consequently education the funds from the company are used to fund the ngos weve partnered with
we donate to httpwwweducategirlsinindexphpwhow were in business of selling highend products  committed to creating pathways for people to have access to safe hygiene around the world holistic skincare  lifestyle brand personal care products isic 475",2,0
above green llc,United States,consulting,www.abovegreen.com,"leed certification services for contractors, architects, owners, and developers.",unknown,we save busy building professionals from the stress of leed certification.,97.9,36.3,0.0,36.3,1.1,0.7,b-corp,0,Marketing Hype,"unknown we save busy building professionals from the stress of leed certification. leed certification services for contractors, architects, owners, and developers. consulting",unknown we save busy building professionals from the stress of leed certification leed certification services for contractors architects owners and developers consulting,0,1
abreu advogados,Portugal,other personal services,www.abreuadvogados.com,full service law firm,we advocate sustainability.,"our mission is to provide legal services that are guided by the values of excellece and of client satisfaction, together with responsible legal practice and high ethical standards.",80.5,12.3,0.0,12.3,2.0,2.8,b-corp,0,Marketing Hype,"we advocate sustainability. our mission is to provide legal services that are guided by the values of excellece and of client satisfaction, together with responsible legal practice and high ethical standards. full service law firm other personal services",we advocate sustainability our mission is to provide legal services that are guided by the values of excellece and of client satisfaction together with responsible legal practice and high ethical standards full service law firm other personal services,-1,1
abury collection,Germany,leather & related products,www.abury.net,production and sales of handmade fashion and interior accessories,"abury brings together international designers and traditional artisans - the handmade collections from the cooperation are sold online and offline. and abury is a marketplace for other brands who follow the abury pillars - design, handmade, social impact.","abury's mission is to preserve world crafts, support the people to make a fair living with their traditional skills and promote education through re-investing 50% of the profits in education projects in the communities we work with.",114.6,14.8,unknown,14.8,1.7,5.1,b-corp,0,Fact Based,"abury brings together international designers and traditional artisans - the handmade collections from the cooperation are sold online and offline. and abury is a marketplace for other brands who follow the abury pillars - design, handmade, social impact. abury's mission is to preserve world crafts, support the people to make a fair living with their traditional skills and promote education through re-investing 50% of the profits in education projects in the communities we work with. production and sales of handmade fashion and interior accessories leather & related products",abury brings together international designers and traditional artisans  the handmade collections from the cooperation are sold online and offline and abury is a marketplace for other brands who follow the abury pillars  design handmade social impact aburys mission is to preserve world crafts support the people to make a fair living with their traditional skills and promote education through reinvesting 50% of the profits in education projects in the communities we work with production and sales of handmade fashion and interior accessories leather  related products,2,0
accertaclaim servicorp inc.,Canada,health insurance,www.accerta.ca,claims benefit management,our focus and expertise is the management of government sponsored benefit plans.  we manage government sponsored benefit plans for provincial and municipal governments as well as children's aid societies.  these government sponsored benefit plans reflect,"we collaborate with plan sponsors and providers to promote access, promote use, and improve outcomes for participants.",93.0,6.8,unknown,6.0,0.7,1.5,b-corp,0,Marketing Hype,"our focus and expertise is the management of government sponsored benefit plans.  we manage government sponsored benefit plans for provincial and municipal governments as well as children's aid societies.  these government sponsored benefit plans reflect we collaborate with plan sponsors and providers to promote access, promote use, and improve outcomes for participants. claims benefit management health insurance",our focus and expertise is the management of government sponsored benefit plans  we manage government sponsored benefit plans for provincial and municipal governments as well as childrens aid societies  these government sponsored benefit plans reflect we collaborate with plan sponsors and providers to promote access promote use and improve outcomes for participants claims benefit management health insurance,0,1
accès personnel sa,Switzerland,employment placement & hr,www.acces-personnel.ch,délégation de personnel temporaire et fixe,société de placement de personnel active sur l'arc lémanique et une partie du jura,"proposer des conseils et des services dans le domaine du recrutement de personnel, et apportons quotidiennement des solutions personnalisées avec enthousiasme, réactivité et persévérance. nous encourageons nos collaborateurs à se développer.",82.1,4.3,unknown,4.3,0.7,0.2,b-corp,0,Marketing Hype,"société de placement de personnel active sur l'arc lémanique et une partie du jura proposer des conseils et des services dans le domaine du recrutement de personnel, et apportons quotidiennement des solutions personnalisées avec enthousiasme, réactivité et persévérance. nous encourageons nos collaborateurs à se développer. délégation de personnel temporaire et fixe employment placement & hr",socit de placement de personnel active sur larc lmanique et une partie du jura proposer des conseils et des services dans le domaine du recrutement de personnel et apportons quotidiennement des solutions personnalises avec enthousiasme ractivit et persvrance nous encourageons nos collaborateurs  se dvelopper dlgation de personnel temporaire et fixe employment placement  hr,0,1
acción verde sas,Colombia,growing non-perennial crops (isic 011),www.accionverde.org.co/,ecological restoration,accion verde is a colombian enterprise that produces positive social and environmental impacts by planting trees in strategic places throughout colombia.,to generate ecological restoration in strategic places throughout colombia to prevent natural disasters while mitigating climate change.,119.6,63.1,unknown,11.2,1.4,2.4,b-corp,1,Fact Based,accion verde is a colombian enterprise that produces positive social and environmental impacts by planting trees in strategic places throughout colombia. to generate ecological restoration in strategic places throughout colombia to prevent natural disasters while mitigating climate change. ecological restoration growing non-perennial crops (isic 011),accion verde is a colombian enterprise that produces positive social and environmental impacts by planting trees in strategic places throughout colombia to generate ecological restoration in strategic places throughout colombia to prevent natural disasters while mitigating climate change ecological restoration growing nonperennial crops isic 011,2,0
accompany,United States,apparel,accompanyus.com,"socially conscious apparel, accessories and home goods","we've scoured the globe to build a worldwide community of artisans and partners, in order to bring you the best and most beautiful -- while also maximizing our impact.","first and foremost, our mission is to help human beings—to change the lives of individuals, families and communities, for good. because to us, change doesn’t mean a quick fix or temporary solution.",87.8,9.2,unknown,5.9,0.0,1.1,b-corp,0,Marketing Hype,"we've scoured the globe to build a worldwide community of artisans and partners, in order to bring you the best and most beautiful -- while also maximizing our impact. first and foremost, our mission is to help human beings—to change the lives of individuals, families and communities, for good. because to us, change doesn’t mean a quick fix or temporary solution. socially conscious apparel, accessories and home goods apparel",weve scoured the globe to build a worldwide community of artisans and partners in order to bring you the best and most beautiful  while also maximizing our impact first and foremost our mission is to help human beingsto change the lives of individuals families and communities for good because to us change doesnt mean a quick fix or temporary solution socially conscious apparel accessories and home goods apparel,0,1
actimpact sl,Spain,other personal services,www.actimpact.com,"consulting, coaching, speaking, publishing","we support leadership teams on their journey to create teal/future-proof organizations, where healthy results, engaged employees, and the sustainable use of natural resources are integrated.",to actively support the growth of organizations that would be approved by the future.,81.7,14.0,unknown,12.6,4.2,5.7,b-corp,1,Marketing Hype,"we support leadership teams on their journey to create teal/future-proof organizations, where healthy results, engaged employees, and the sustainable use of natural resources are integrated. to actively support the growth of organizations that would be approved by the future. consulting, coaching, speaking, publishing other personal services",we support leadership teams on their journey to create tealfutureproof organizations where healthy results engaged employees and the sustainable use of natural resources are integrated to actively support the growth of organizations that would be approved by the future consulting coaching speaking publishing other personal services,-2,1
actitudlab,Chile,educational support,www.actitudlab.com,"experiences, classes, lectures, trainings, seminars, and consulting","actitudlab is a social enterprise that aims to contribute to the integral development of people for them to have more tools to find happiness, understanding this with a path part in the initial and secondary education.","create and implement training programs for active learning subjects develop attitudes, skills and values ??that enable them to be happier and a meaningful life.",101.7,10.4,unknown,8.1,2.0,3.2,b-corp,0,Marketing Hype,"actitudlab is a social enterprise that aims to contribute to the integral development of people for them to have more tools to find happiness, understanding this with a path part in the initial and secondary education. create and implement training programs for active learning subjects develop attitudes, skills and values ??that enable them to be happier and a meaningful life. experiences, classes, lectures, trainings, seminars, and consulting educational support",actitudlab is a social enterprise that aims to contribute to the integral development of people for them to have more tools to find happiness understanding this with a path part in the initial and secondary education create and implement training programs for active learning subjects develop attitudes skills and values that enable them to be happier and a meaningful life experiences classes lectures trainings seminars and consulting educational support,0,1
active health group,Netherlands,other human health,www.activehealthgroup.nl,occupational health services and preventive medical care,unknown,"to promote self-management in order to optimise individual health, happiness and sustainable employability",87.5,7.1,unknown,6.7,1.0,2.2,b-corp,1,Marketing Hype,"unknown to promote self-management in order to optimise individual health, happiness and sustainable employability occupational health services and preventive medical care other human health",unknown to promote selfmanagement in order to optimise individual health happiness and sustainable employability occupational health services and preventive medical care other human health,-1,1
actua360,Chile,environmental consulting (isic 749),www.actua360.cl,sustainability consultancy,empresa consultora de sustentabilidad,"actua360 asesora de manera técnica, leal y transparente a sus clientes en la generación de valor económico, social y ambiental, para lograr que su negocio sea lo más sustentable posible.",80.2,10.7,unknown,9.5,2.5,2.6,b-corp,0,Fact Based,"empresa consultora de sustentabilidad actua360 asesora de manera técnica, leal y transparente a sus clientes en la generación de valor económico, social y ambiental, para lograr que su negocio sea lo más sustentable posible. sustainability consultancy environmental consulting (isic 749)",empresa consultora de sustentabilidad actua360 asesora de manera tcnica leal y transparente a sus clientes en la generacin de valor econmico social y ambiental para lograr que su negocio sea lo ms sustentable posible sustainability consultancy environmental consulting isic 749,2,0
